,Indie Games,Played,,Triple AAA,Played,,Indie Games to Try,,Triple AAA to Try
,Great,Hades 1 & 2,,Great,Tears of the Kingdom,,The Stanley Parable,,Baldurs Gate 3
,,Celeste,,,Breath of the Wild,,Silk Song,,007 First Light
,,Hollow Knight,,,Super Mario Odyssey,,Mixtape,,Ghost of Yotei
,,Ori Blind Forest & Will of the Wisps,,,Elden Ring,,Animal Well,,Doom 2017
,,Portal 2,,,Astro Bot,,Balatro,,Tony Hawks Pro Skater 1 & 2
,,Clair Obscur: Expedition 33,,,God of War 2018 & Ragnarok,,Kentucky Route Zero,,Super Mario 3D World
,,Dave the Diver,,,Horizon Foribedden ,,Disco Elysium,,Devil May Cry 5
,,Bastion,,,Super Smash Bros Ultimate,,Stardew Valley,,Metal Gear Solid Phantom Pain
,,Transistor,,,Doom Eternal & Dark Ages,,Cairn,,Psychonauts 2
,,Cocoon,,,Spiderman 1 & 2,,The Talos Principle,,AC Black Flag Remaster
,,It Takes Two,,,Uncharted 4,,Dispatch,,Gears of War Reloaded
,,Split Fiction,,,The Last of us 1 & 2,,Lorelei and the Laser Eyes,,AC Valhalla/Odyssey
,,Hyper Light Drifter,,,Jedi Fallen Order,,Tunic,,Jedi Survivor
,,What Remains of Edith Finch,,,Ghost of Tsushima,,Subnautica,,Halo Campaign Evovled
,,Fez,,,Deathloop,,Cuphead,,Black Myth Wukong
,,Pikmin 4,,,Cyberpunk,,Cult of the Lamb,,Far Cry 6
,,Terraria,,,Titanfall 2,,Downwell,,Echoes of Wisdom
,,Braid,,,Halo Infinite,,Cave Story,,Days Gone
,,Hell Divers 2,,,Link Awakening,,Enter the Gungeon,,
,,Control,,,Mario + Rabbids,,Returnal,,
,,Dredge,,,Sekiro Shadows Die Twice,,Slay the Spire 2,,
,,The Witness,,,Red Dead Redemption 2,,Paper Please,,
,,Outerwilds,,,GTA V,,Stray,,
,,Journey,,,Bloodborne,,Gris,,
,,,,,Bishock Infinite,,Risk of Rain 2,,
,Good,Split Fiction,,,,,Advance Wars,,
,,Mina the Hollower,,Good,Metroid Prime Remastered,,Hotline Miami,,
,,Limbo & Inside,,,The Witcher 3,,Humanity,,
,,Steamworld Heist & Dig 2,,,Final Fantasy 7 Remake & Rebirth,,Spelunky 2,,
,,Blue Prince,,,Bioshock 1 & 2,,Sifu,,
,,Dead Cells OG,,,Wolfenstein 2 The New Colossus,,Steamworld Quest,,
,,Into the Breach,,,Dishonored 2,,Faster than Light,,
,,Nier Automata,,,DK Tropical Freeze,,Gorogoa,,
,,Deaths Door,,,DK Bananza,,Dead Cells Return to Castlevania,,
,,Rathet & Clank,,,Infamous Second Son,,,,
,,Metroid Dread,,,,,,,
,,Super Mario RPG Remastered,,Ok,Astral Chain,,,,
,,Overcooked,,,,,,,
,,Return of the Obra Dinn,,,,,,,
,,Mini Metro,,,,,,,
,,Donut Country,,,,,,,
,,World of Goo,,,,,,,
,,Firewatch,,,,,,,
,,Shadow of the Colossus,,,,,,,
,,,,,,,,,
,Ok,Undertale,,,,,,,
,,Shovel Knight,,,,,,,
,,Civilization 5,,,,,,,
